# Medical parameters for extraction
# Format: Parameter;Type

TNM patologická klasifikace -počet celkově vyšetřených ostatních uzlin;integer
TNM patologická klasifikace -pM;výběr {X, 0, 1}
TNM patologická klasifikace -Stádium;výběr {I, II, III, IV} Přidat rovněž do číselníku možnosti 6-stádium neuvedeno, neznámé primum; 7 - stádium se neuvádí; 9 - stádium neznámo.
TNM patologická klasifikace -Lokalizace metastáz;číselník (mozek, plíce, játra, viscerální mimo výše uvedené, kost, měkké tkáně, jiné, žádné), vícenásobný výskyt
TNM patologická klasifikace -Lokalizace metastáz - komentář;text
TNM patologická klasifikace -Lymfatická invaze (L);výběr { LX lymfatickou invazi nelze hodnotit, L0 bez lymfatické invaze, L1 lymfatická invaze  }
TNM patologická klasifikace -Žilní invaze (V);výběr {VX žilní invazi nelze hodnotit, V0 bez žilní invaze, V1 mikroskopická žilní invaze, V2 makroskopická žilní invaze       }
TNM patologická klasifikace -Pn - Perineurální invaze;0/1/X
TNM patologická klasifikace -R - Klasifikace;výběr {RX přítomnost reziduálního nádoru nelze hodnotit, R0 bez reziduálního nádoru, R1 mikroskopický reziduální nádor,R2 makroskopický reziduální nádor}
TNM patologická klasifikace -Staging - doplňující informace;text
Výběr diagnostické skupiny-Výběr diagnostické skupiny;číselník (Nádory CNS a různé intrakraniální a intraspinální nádory, nádory oka)
Stav nemoci Přešetření-Trvá léčebná odpověď;ano/ne
Stav nemoci Přešetření-Datum relapsu/progrese;datum
Stav nemoci Přešetření-Typ relapsu;výběr {lokální recidiva / diseminace }
Stav nemoci Přešetření-Volitelný komentář;text
Skupina novotvarů-Název skupiny novotvarů;text
Skupina novotvarů Laboratorní marker-název laboratorního markeru;text včetně uvedení jednotek, je-li relevantní
Skupina novotvarů Laboratorní marker-formát laboratorního markeru;hodnota / číselník / ano-ne-neznámo
Skupina novotvarů Laboratorní marker-hodnota laboratorního markeru;hodnota podle pole M.B.1.x.2.2
Skupina novotvarů Molekulárně-genetický marker-název molekulárně-genetického markeru;text včetně uvedení jednotek, je-li relevantní
Skupina novotvarů Molekulárně-genetický marker-formát molekulárně-genetického markeru;hodnota / číselník / ano-ne-neznámo
Skupina novotvarů Molekulárně-genetický marker-hodnota molekulárně-genetického markeru;hodnota podle pole M.B.1.x.3.2
Skupina novotvarů Specifická klasifikace-název specifické klasifikace;text včetně uvedení jednotek, je-li relevantní
Skupina novotvarů Specifická klasifikace-formát specifické klasifikace;hodnota / číselník / ano-ne-neznámo
Skupina novotvarů Specifická klasifikace-hodnota specifické klasifikace;hodnota podle pole M.B.1.x.4.2
Skupina novotvarů Rizikový faktor-název rizikového faktoru;text včetně uvedení jednotek, je-li relevantní
Skupina novotvarů Rizikový faktor-formát rizikového faktoru;hodnota / číselník / ano-ne-neznámo
Skupina novotvarů Rizikový faktor-hodnota rizikového faktoru;hodnota podle pole M.B.1.x.5.2
Léčba-Datum zahájení   ;datum
Chirurgická léčba-Datum operace;datum
Chirurgická léčba-Indikace operačního výkonu;výběr {onkologická, ne-onkologická}, výběr jen jedné možnosti, sada přepínačů, skiplogic
Chirurgická léčba-Strategie onkologické operace;výběr {kurativní, paliativní, preventivní, výlučně diagnostická, rekonstrukční}, výběr jen jedné možnosti, číselník
Chirurgická léčba-Pořadí onkol.operace;výběr {primární, následná}, výběr jen jedné možnosti, sada přepínačů
Chirurgická léčba-Operační přístup;výběr {otevřený, endoskopický, laparoskopický, robotický, kombinovaný}, více možností - checkboxy
Chirurgická léčba-Konverze;ANO/NE/Údaj není k dispozici
Chirurgická léčba-Typ výkonu - primární nádor;výběr {parciální resekce orgánu, radikální resekce orgánu, debulking (cytoredukce), biopsie, žádná} - výběr jen jedné možnosti
Chirurgická léčba-Radikální resekce - nádory CNS;výběr {GTR (radikální totální resekce), NTR (téměř totální resekce), STR (subtotální resekce)}
Chirurgická léčba-Makroskopické rezidum nádoru (R2):;výběr {Ano, Ne, Nehodnoceno}, sada přepínačů
Chirurgická léčba-Typ výkonu - regionální uzliny (výsledný stav);výběr {sentinelová biopsie, targeted dissection, lymfadenektomie, sampling, žádný) více možností - checkboxy
Chirurgická léčba-Metastazektomie - vzdálené metastázy:;ANO/NE/NEZNÁMO, sada přepínačů
Chirurgická léčba-Metastazektomie - Lokalizace vzdálených metastáz;výběr {plíce, kostní dřeň, kost, pleura, játra, peritoneum, mozek, nadledviny, uzliny, kůže, jiný orgán}
Chirurgická léčba-Jiný orgán;text
Chirurgická léčba-Speciální metoda;ANO/NE/NEZNÁMO,  sada přepínačů
Chirurgická léčba-Speciální metoda - specifikace;výběr {HIPEC, PIPAC, ILP, RFA, kryoablace, MWA, Jiná} - výběr jen jedné možnosti, číselník
Chirurgická léčba-Speciální metoda - jiné;text
Chirurgická léčba-Volitelný komentář;text
CHEMOTERAPIE-Datum zahájení   ;datum
CHEMOTERAPIE-Datum ukončení ;datum
CHEMOTERAPIE-Plánovaná strategie;výběr {kurativní, paliativní}
CHEMOTERAPIE-Upřesnění strategie    ;výběr {neoadjuvance, adjuvance, upfront}
CHEMOTERAPIE-Režim:;text
CHEMOTERAPIE-Podané léčivo;číselník ATC, více možností
CHEMOTERAPIE-Byla překročena kumulativní dávka?;ANO/NE/Údaj není k dispozici
CHEMOTERAPIE-Volitelný komentář;text 
